location,time,average,high,low
270,20000519,27,60,10
270,20000520,30,60,0
270,20000521,23,40,0
270,20000522,20,40,10
270,20000523,53,80,20
270,20000524,36,70,10
270,20000525,64,120,20
270,20000526,40,60,10
270,20000527,92,120,40
270,20000528,90,150,20
270,20000529,51,80,20
270,20000530,18,40,10
270,20000531,19,40,0
270,20000601,53,80,30
270,20000602,37,70,0
270,20000603,42,70,0
270,20000604,41,80,10
270,20000605,23,40,10
270,20000606,38,60,0
270,20000607,32,70,0
270,20000608,39,60,10
270,20000609,43,70,10
270,20000610,26,50,10
270,20000611,37,70,10
270,20000612,53,80,20
270,20000613,48,70,10
270,20000614,33,70,10
270,20000615,41,80,10
270,20000616,42,70,0
270,20000617,13,30,0
270,20000618,30,60,0
270,20000619,41,70,10
270,20000620,27,60,10
270,20000621,45,70,0
270,20000622,70,100,40
270,20000623,54,90,20
270,20000624,52,80,20
270,20000625,60,70,40
270,20000626,64,90,30
270,20000627,53,80,40
270,20000628,50,70,30
270,20000629,44,70,10
270,20000630,29,50,10
270,20000701,13,20,10
270,20000702,32,50,20
270,20000703,18,50,10
270,20000704,26,40,10
270,20000705,22,40,0
270,20000706,26,50,10
270,20000707,35,50,10
270,20000708,33,50,10
270,20000709,49,80,20
270,20000710,57,100,30
270,20000711,70,100,40
270,20000712,48,70,10
270,20000713,37,60,10
270,20000714,45,70,20
270,20000715,54,80,30
270,20000716,37,50,10
270,20000717,31,50,10
270,20000718,36,60,10
270,20000719,57,90,20
270,20000720,46,70,20
270,20000721,61,80,40
270,20000722,43,60,20
270,20000723,31,50,20
270,20000724,55,70,30
270,20000725,35,60,10
270,20000726,30,50,10
270,20000727,12,30,0
270,20000728,20,50,0
270,20000729,16,30,10
270,20000730,18,50,0
270,20000731,20,30,10
270,20000801,25,40,10
270,20000802,33,70,0
270,20000803,35,60,10
270,20000804,18,40,0
270,20000805,18,40,0
270,20000806,29,50,10
270,20000807,26,50,10
270,20000808,28,50,10
270,20000809,25,40,10
270,20000810,41,70,20
270,20000811,17,30,10
270,20000812,16,30,10
270,20000813,34,50,10
270,20000814,40,60,10
270,20000815,42,60,20
270,20000816,43,80,20
270,20000817,45,90,20
270,20000818,32,60,10
270,20000819,28,60,10
270,20000820,23,40,10
270,20000821,14,20,0
270,20000822,23,50,10
270,20000823,20,50,0
270,20000824,34,60,0
270,20000825,27,40,10
270,20000826,55,90,20
270,20000827,19,40,10
270,20000828,30,60,10
270,20000829,34,60,20
270,20000830,24,50,0
270,20000831,22,50,10
270,20000901,43,70,10
270,20000902,43,80,20
270,20000903,61,90,20
270,20000904,39,60,10
270,20000905,29,40,10
270,20000906,74,110,40
270,20000907,63,80,40
270,20000908,38,60,20
270,20000909,23,40,10
270,20000910,28,60,10
270,20000911,36,50,20
270,20000912,46,70,30
270,20000913,50,80,20
270,20000914,22,40,10
270,20000915,40,60,20
270,20000916,35,60,10
270,20000917,21,30,10
270,20000918,53,70,40
270,20000919,72,100,50
270,20000920,56,100,20
270,20000921,32,40,20
270,20000922,45,60,40
270,20000923,47,60,30
270,20000924,64,80,50
270,20000925,28,50,10
270,20000926,38,60,20
270,20000927,44,70,20
270,20000928,60,70,40
270,20000929,32,50,0
270,20000930,23,40,10
270,20001001,24,40,20
270,20001002,40,60,20
