Country;Indicator;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Senegal;Researchers (FTE) - % Female;0;0;0;0;0;0;10;10;2.8;0;2.8;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;.9;.9;24;0;2.9;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;1.2;0;18;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;.5;0;.1;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;2.4;0;1.2;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;.8;0;.3;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;3.5;0;4.7;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;.7;0;.3;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;.3;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;1.2;0;1.9;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;1.7;0;1.1;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;32;0;3.7;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;1.1;0;2.9;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;25;0;2.2;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;2.2;0;1.1;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;.3;0;0
Serbia;Researchers (FTE) - % Female;0;0;0;0;0;0;0;4.2;4.4;4.7;4.9;4.3;50
;Researchers (HC) - % Female;4.2;4.2;43;4.8;4.6;4.7;4.7;47;4.2;4.4;4.8;4.3;4.6
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;19;1.6;2.2;22;2.6;2.5
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;2.3;2.8;2.1;2.7;2.2;2.9
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;1.1;1.6;12;.6;.9;1.1
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;1.1;1.3;1.1;1.2;1.5;1.6
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;10;1.1;2.6;1.8;19;1.6
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;1.6;.2;.5;1.7;1.8;1.3
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;.3;.5;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;4.6;5.4;55;5.3;5.8;5.3
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;37;3.3;3.9;3.6;3.8;3.3
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;6.3;58;5.4;4.3;5.9;5.3
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;46;4.6;4.9;5.8;5.9;5.7
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;3.3;5.6;5.9;4.7;4.6;4.4
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;53;4.8;4.5;54;5.3;5.4
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;3.3;3.6;0;0;0
Seychelles;Researchers (FTE) - % Female;0;0;0;0;0;3.8;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;3.7;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;7.9;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;1.4;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;.7;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;20;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;50;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;100;0;0;0;0;0;0;0
Singapore;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;2.6;2.3;2.8;2.3;2.1;2.4;28;2.5;2.3;2.2;2.6
;Researchers (FTE) - Natural sciences %;0;0;2.2;1.4;1.4;1.6;1.1;1.9;14;1.9;1.2;1.4;1.8
;Researchers (FTE) - Engineering and technology %;0;0;5.4;6.6;6.9;6.7;6.8;6.2;6.2;6.3;6.1;6.3;6.5
;Researchers (FTE) - Medical and health sciences %;0;0;12;1.9;1.3;14;1.4;1.3;1.5;1.9;1.1;1.1;1.7
;Researchers (FTE) - Agricultural sciences %;0;0;.1;.7;.8;.9;1;.2;.5;.3;.4;.6;2
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;.3;.4;.6;.9;.6;.4;.8;.6;.3;.6;.1
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovakia;Researchers (FTE) - % Female;3.8;3.8;4.8;41;4.3;4.1;4.1;4.4;4.3;4.2;42;4.3;4.7
;Researchers (HC) - % Female;0;0;3.6;4.6;4.2;4.5;4.8;4.3;4.3;4.5;4.4;4.6;4.3
;Researchers (FTE) - Natural sciences %;2.5;3.1;2.3;3.8;2.7;2.5;2.2;2.5;2.4;1.5;1.3;1.1;20
;Researchers (FTE) - Engineering and technology %;33;3.4;33;3.1;2.9;3.2;2.9;2.4;31;3.7;3.5;3.9;3.7
;Researchers (FTE) - Medical and health sciences %;1.4;1.6;1.2;1.1;1.8;1.8;1.5;1.6;1.8;1.2;1.6;1.6;1.1
;Researchers (FTE) - Agricultural sciences %;7;.7;.4;.3;.9;.5;.8;.5;.8;6;.5;.4;.2
;Researchers (FTE) - Social sciences %;1.4;15;1.4;1.9;1.6;1.9;1.5;1.4;1.4;1.1;1.8;1.7;1.8
;Researchers (FTE) - Humanities %;.8;.2;.7;.8;.9;.2;.1;.5;.5;.3;1.3;1.3;1.2
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;3.7;4.4;4.1;3.3;3.7;3.2;40;3.9;4.4;4.2;3.4;4.1;4.2
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;2.1;28;2.4;3.5;2.4;2.9;2.5;2.3;2.5;27;2.8;2.7;2.3
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;5.6;5.2;5.8;5.4;5.7;5.7;60;61;5.4;5.6;5.3;5.9;5.5
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;4.6;4.5;4.6;4.2;4.6;4.5;4.2;4.3;4.5;4.5;4.7;4.2;4.6
;Female researchers as a percentage of total researchers (FTE) - Social sciences;5.7;5.6;51;5.2;5.3;5.4;5.8;5.9;5.8;5.8;5.7;5.3;5.5
;Female researchers as a percentage of total researchers (FTE) - Humanities;4.1;4.6;5.6;5.8;4.7;4.4;4.3;4.8;4.2;5.6;4.5;4.2;49
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Slovenia;Researchers (FTE) - % Female;3.2;3.4;3.6;3.8;32;3.8;3.1;3.7;3.1;3.7;3.6;3.3;34
;Researchers (HC) - % Female;3.9;3.4;3.1;3.2;3.5;3.8;3.3;3.9;3.1;3.7;3.3;3.4;3.8
;Researchers (FTE) - Natural sciences %;0;1.3;1.8;2.6;2.7;2.7;2.1;2.3;3.6;2.5;2.6;2.9;2.1
;Researchers (FTE) - Engineering and technology %;0;4.2;4.6;4.9;4.2;4.7;4.2;4.2;42;4.1;4.4;4.7;4.4
;Researchers (FTE) - Medical and health sciences %;0;1.2;1.6;1.9;12;13;1.3;1.1;.1;.6;.4;.3;8
;Researchers (FTE) - Agricultural sciences %;0;6;.6;.1;.3;6;.4;.4;.9;.3;.8;.9;.6
;Researchers (FTE) - Social sciences %;0;1.2;1.1;.6;.9;.7;.6;.2;9;9;.5;.8;.9
;Researchers (FTE) - Humanities %;0;4;.3;.9;4;.9;.4;.8;.4;.4;.4;.4;.9
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;3.2;3.6;3.7;35;3.5;3.1;3.9;3.6;3.4;40;3.4;3.1
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;2.3;1.7;1.5;17;1.6;1.5;1.9;1.3;2.3;2.7;1.7;1.3
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;6.2;6.9;5.5;57;5.6;5.5;5.3;5.4;5.5;5.5;59;5.5
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;4.5;4.2;4.4;5.9;56;5.1;5.4;4.3;4.5;5.2;5.5;55
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;4.9;4.2;4.9;4.8;4.2;4.5;4.3;4.4;50;4.7;5.1;5.6
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;4.7;5.6;4.6;4.7;5.4;5.5;5.7;53;5.5;5.1;5.5;5.7
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
South Africa;Researchers (FTE) - % Female;0;3.7;0;3.8;37;3.2;3.3;38;3.4;39;4.9;4.7;4.4
;Researchers (HC) - % Female;0;36;0;38;3.2;3.7;3.7;4.3;3.7;4.8;4.7;4.3;4.7
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Spain;Researchers (FTE) - % Female;0;3.2;3.7;3.7;3.2;3.7;3.5;3.9;3.2;3.5;3.5;3.6;3.5
;Researchers (HC) - % Female;0;3.4;3.2;3.3;3.1;3.7;3.7;37;3.5;3.1;3.4;3.7;3.8
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Sri Lanka;Researchers (FTE) - % Female;0;0;0;0;3.1;0;4.1;0;3.9;0;3.3;0;0
;Researchers (HC) - % Female;2.6;0;0;0;3.4;0;4.5;0;3.9;0;3.9;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;2.2;0;2.6;0;2.4;0;3.4;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;2.9;0;1.8;0;2.5;0;2.7;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;.9;0;3.3;0;1.2;0;1.6;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;2.4;0;2.3;0;3.7;0;2.3;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;1.3;0;.3;0;.2;0;.7;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;.2;0;.7;0;4;0;.3;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;39;0;4.1;0;3.1;0;3.6;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;1.1;0;4.8;0;2.3;0;2.2;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;4.1;0;4.9;0;5.9;0;4.9;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;3.4;0;3.8;0;4.7;0;43;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;3.5;0;4.9;0;46;0;4.6;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;2.6;0;26;0;3.4;0;6.4;0;0
Sudan;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;2.9;2.2;3.3;3.3;3.3;40;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Sudan (pre-secession);Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;2.9;2.2;3.3;3.3;3.3;40;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Sweden;Researchers (FTE) - % Female;0;0;0;0;0;29;0;2.4;0;2.7;0;3.2;0
;Researchers (HC) - % Female;0;0;0;0;0;3.8;0;35;0;3.7;0;3.2;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Switzerland;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;2.3;0;0;0;2.7;0;0;0;3.2;0;0;0;3.4
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Tajikistan;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;4.2;40;2.4;2.3;0;3.8;0;0;0;0;2.3;2.2
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Thailand;Researchers (FTE) - % Female;0;0;0;0;0;4.9;0;5.7;0;5.3;0;5.1;0
;Researchers (HC) - % Female;0;0;0;4.6;0;5.3;0;5.2;0;5.1;0;5.7;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;10;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;1.6;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;.2;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;1.7;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;28;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;.3;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;2.2;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
The former Yugoslav Republic of Macedonia;Researchers (FTE) - % Female;4.9;4.1;4.1;4.8;5.3;5.8;5.5;5.5;5.4;5.9;5.2;5.6;54
;Researchers (HC) - % Female;0;4.9;4.4;4.2;4.1;4.1;5.1;50;5.4;5.3;5.8;5.6;5.6
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;.9;.4;.4;.9;.7;3;0;.7
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;2.7;2.7;2.5;2.7;2.4;2.1;3.8;1.9
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;1.6;2.5;2.3;2.3;2.7;1.2;1.9;2.3
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;1.7;1.6;1.2;1.7;.6;8;.8;1.2
;Researchers (FTE) - Social sciences %;0;0;0;0;0;.6;.6;14;1.9;1.3;1.8;1.2;1.2
