Country;Indicator;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;33.8;34.8;37.1;38.9
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Bangladesh;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Belarus;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;46.2;45.2;45.1;44;44.4;43.2;43.7;43.3;43.9;42.7;42.2;41.7;41.1
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgium;Researchers (FTE) - % Female;25.5;25.6;27.1;27.8;28.7;29.5;30.4;30.7;31.9;31.6;31.7;31.7;0
;Researchers (HC) - % Female;0;0;27.7;28.1;28.8;29.6;30.7;31.1;32.2;32.7;33.2;33.5;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Benin;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Humanities;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Not specified fields;0;0;0;0;0;0;0;0;0;0;0;0;0
Bermuda;Researchers (FTE) - % Female;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (HC) - % Female;0;0;0;0;0;0;0;25;30;33.3;41.5;50;46.3
;Researchers (FTE) - Natural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Engineering and technology %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Medical and health sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Agricultural sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Social sciences %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Humanities %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Researchers (FTE) - Not specified fields %;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Natural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Engineering and technology;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Medical and health sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Agricultural sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
;Female researchers as a percentage of total researchers (FTE) - Social sciences;0;0;0;0;0;0;0;0;0;0;0;0;0
